Date,Stock Symbol,Open Price,High Price,Low Price,Close Price,Volume
1/06/2020,AAPL.OQ,98.75097095,100.1553519,98.5645487,100,23650736
1/06/2020,AMZN.OQ,98.98868493,100.2084143,98.93000518,100,16206820
1/06/2020,BAC.N,98.65908167,101.0564811,97.76513612,100,9122512
1/06/2020,GOOGL.OQ,99.36091771,100.3909762,99.18807976,100,9759680
1/06/2020,JNJ.N,100.0679394,100.7541273,99.20510904,100,1794584
1/06/2020,JPM.N,99.37119675,100.9229209,98.77281947,100,2521782
1/06/2020,LLY.N,101.3250246,101.6333224,98.99639226,100,1075622
1/06/2020,MSFT.OQ,99.78121752,100.087513,99.25067002,100,7800946
1/06/2020,ORCL.N,100.414625,100.6030908,99.50998869,100,1557314
1/06/2020,QQQ.OQ,99.31641459,100.1623515,99.1241562,100,4877302
1/06/2020,SPY.N,99.38461538,100.2258592,99.20785597,100,1233360
1/06/2020,WMT.N,99.58050984,100.3549532,98.70926105,100,4017064.017
2/06/2020,AAPL.OQ,99.61783442,100.494019,99.09895916,100.4629486,26889264
2/06/2020,AMZN.OQ,99.73128719,100.0971251,98.99920677,100.0554422,15367940
2/06/2020,BAC.N,101.5440877,103.1288094,99.79683052,100.9345794,14123813
2/06/2020,GOOGL.OQ,100.0090601,100.5666019,99.0758745,100.5185139,10240480
2/06/2020,JNJ.N,99.91167876,100.788097,99.27304842,100.7201576,1818133
2/06/2020,JPM.N,101.703854,101.8154158,99.3306288,100.3346856,4217033
2/06/2020,LLY.N,99.75729747,101.069203,99.07510658,100.9248934,961945
2/06/2020,MSFT.OQ,100.74933,101.186895,99.19597443,101.1376689,10252588
2/06/2020,ORCL.N,100.3392386,100.4334716,99.21786661,100.414625,2579841
2/06/2020,QQQ.OQ,100.187986,100.6964027,99.12415622,100.6707682,6041673
2/06/2020,SPY.N,100.3404255,100.8576105,99.87561374,100.8477905,1909148
2/06/2020,WMT.N,99.70151662,100.1532752,99.0803485,99.98386576,5503304.503
3/06/2020,AAPL.OQ,100.9321112,101.3204909,100.1429237,101.0160012,30997376
3/06/2020,AMZN.OQ,99.90327959,100.6863507,99.60057304,100.2978503,17535080
3/06/2020,BAC.N,103.6164161,106.2129215,103.1491263,105.6074766,13935677
3/06/2020,GOOGL.OQ,100.545694,100.9847582,99.79440643,100.3052541,11130520
3/06/2020,JNJ.N,100.7813031,101.2976425,99.49724844,100.9919152,1688375
3/06/2020,JPM.N,103.0223124,106.4097363,102.525355,105.7505071,5181133
3/06/2020,LLY.N,100.5837979,101.2200721,98.97671366,100.0524762,604708
3/06/2020,MSFT.OQ,101.1376689,101.6955642,100.4102172,101.3837992,9299113
3/06/2020,ORCL.N,100.7915567,101.0365624,99.85865057,100.8104033,2522888
3/06/2020,QQQ.OQ,100.9399299,101.4568914,100.5511407,101.1236435,5818090
3/06/2020,SPY.N,101.5679214,102.5073649,101.4566284,102.1963993,2636266
3/06/2020,WMT.N,99.95159729,100.0161342,98.95127461,99.6047112,4821904.822
4/06/2020,AAPL.OQ,100.7891876,101.1682461,99.67686815,100.1460308,25974556
4/06/2020,AMZN.OQ,100.2585956,101.4754921,99.16998511,99.57750583,18242460
4/06/2020,BAC.N,105.3355421,109.7534988,104.6033067,109.5489638,16020916
4/06/2020,GOOGL.OQ,99.83064668,100.3965516,98.00051572,98.56642065,10921540
4/06/2020,JNJ.N,99.73503635,100.7745091,98.90617569,99.68747877,2384254
4/06/2020,JPM.N,105.2941177,108.1135903,104.2596349,107.9513185,4355149
4/06/2020,LLY.N,99.31780912,100.6887504,98.20924894,98.85864218,861803
4/06/2020,MSFT.OQ,100.8040256,101.6436034,99.71558282,100.0492261,8837774
4/06/2020,ORCL.N,100.320392,101.1684885,99.18959669,99.60422164,2479307
4/06/2020,QQQ.OQ,100.9698368,101.5893361,99.83764851,100.4144237,7368429
4/06/2020,SPY.N,101.8265139,102.4517185,101.1767594,101.9018003,1917274
4/06/2020,WMT.N,99.06421426,99.92739593,98.27363666,98.50758309,5328932.329
5/06/2020,AAPL.OQ,100.4598415,103.075967,100.4380923,102.9982911,43207540
5/06/2020,AMZN.OQ,98.91219888,100.7045616,98.63539235,100.4840067,22006940
5/06/2020,BAC.N,118.6303193,118.6303193,114.0691881,114.9895957,19353976
5/06/2020,GOOGL.OQ,98.65980887,100.78474,98.19670071,100.3589175,18246140
5/06/2020,JNJ.N,100.339697,101.6373395,99.59915751,100.0747333,2707764
5/06/2020,JPM.N,116.602434,117.4137931,111.1054766,112.8093306,6018607
5/06/2020,LLY.N,98.19612988,99.54739259,97.37618891,97.87471302,1072474
5/06/2020,MSFT.OQ,99.80309573,102.6746157,99.56243501,102.3901985,14947469
5/06/2020,ORCL.N,100.0565398,102.2804373,99.50998872,101.7338862,2914944
5/06/2020,QQQ.OQ,100.9228403,102.6574382,100.6707681,102.4053661,9544798
5/06/2020,SPY.N,103.8461539,105.1620295,103.8232406,104.5204583,4286899
5/06/2020,WMT.N,98.87867054,98.95127461,96.74088416,98.06389158,8174360.174
8/06/2020,AAPL.OQ,102.5322355,103.650769,101.7150847,103.6072705,28963780
8/06/2020,AMZN.OQ,101.1517418,102.381993,100.6903976,102.1456553,25983880
8/06/2020,BAC.N,116.994039,118.2007957,115.1532237,116.748597,12141403
8/06/2020,GOOGL.OQ,99.40133951,100.9847582,99.2758926,100.9178532,15209900
8/06/2020,JNJ.N,99.10999389,100.2785515,99.03526055,99.71465453,2536207
8/06/2020,JPM.N,115.0608519,115.801217,113.5395537,115.0608519,5115546
8/06/2020,LLY.N,96.2610692,97.90095113,96.12987865,97.87471302,1078331
